"LTER_site","local_site","date","year","jday","thickness"
"NWT","GL4",1984-10-06,1984,280,2
"NWT","GL4",1984-11-07,1984,312,30
"NWT","GL4",1985-02-28,1985,59,100
"NWT","GL4",1985-03-28,1985,87,125
"NWT","GL4",1985-04-25,1985,115,130
"NWT","GL4",1985-05-07,1985,127,140
"NWT","GL4",1990-10-11,1990,284,2
"NWT","GL4",1990-11-29,1990,333,45
"NWT","GL4",1990-12-28,1990,362,65
"NWT","GL4",1991-02-01,1991,32,100
"NWT","GL4",1991-03-01,1991,60,97
"NWT","GL4",1991-03-29,1991,88,114
"NWT","GL4",1991-05-03,1991,123,115
"NWT","GL4",1997-10-16,1997,289,2
"NWT","GL4",1997-10-23,1997,296,5
"NWT","GL4",1997-11-06,1997,310,31
"NWT","GL4",1997-12-11,1997,345,63
"NWT","GL4",1998-01-29,1998,29,90
"NWT","GL4",1998-03-12,1998,71,105
"NWT","GL4",1998-03-24,1998,83,107
"NWT","GL4",1998-04-23,1998,113,125
"NWT","GL4",1999-10-26,1999,299,2
"NWT","GL4",1999-12-07,1999,341,27
"NWT","GL4",2000-02-01,2000,32,84
"NWT","GL4",2000-02-22,2000,53,84
"NWT","GL4",2000-03-22,2000,82,89
"NWT","GL4",2000-04-07,2000,98,85
"NWT","GL4",2000-05-03,2000,124,86
"NWT","GL4",2001-10-16,2001,289,2
"NWT","GL4",2001-11-08,2001,312,23
"NWT","GL4",2001-11-20,2001,324,28
"NWT","GL4",2002-01-03,2002,3,66
"NWT","GL4",2002-01-22,2002,22,78
"NWT","GL4",2002-03-05,2002,64,93
"NWT","GL4",2002-04-04,2002,94,89
"NWT","GL4",2002-10-21,2002,294,5
"NWT","GL4",2002-11-19,2002,323,35
"NWT","GL4",2002-12-16,2002,350,58
"NWT","GL4",2003-01-07,2003,7,75
"NWT","GL4",2003-02-20,2003,51,99
"NWT","GL4",2003-04-17,2003,107,101
"NWT","GL4",2003-05-13,2003,133,100
"NWT","GL4",2003-10-26,2003,299,0
"NWT","GL4",2004-01-10,2004,10,80
"NWT","GL4",2004-02-27,2004,58,97
"NWT","GL4",2004-03-30,2004,90,99
"NWT","GL4",2004-10-25,2004,299,2
"NWT","GL4",2004-12-17,2004,352,48
"NWT","GL4",2005-01-27,2005,27,68
"NWT","GL4",2005-03-03,2005,62,87
"NWT","GL4",2005-03-23,2005,82,97
"NWT","GL4",2005-04-14,2005,104,88
"NWT","GL4",2005-10-14,2005,287,0
"NWT","GL4",2006-01-13,2006,13,72
"NWT","GL4",2006-02-24,2006,55,95
"NWT","GL4",2006-03-28,2006,87,101
"NWT","GL4",2006-04-21,2006,111,107
"NWT","GL4",2006-05-10,2006,130,105
"NWT","GL4",2006-10-17,2006,290,0
"NWT","GL4",2006-11-21,2006,325,39
"NWT","GL4",2006-12-19,2006,353,58
"NWT","GL4",2007-01-16,2007,16,75
"NWT","GL4",2007-03-06,2007,65,94
"NWT","GL4",2007-03-22,2007,81,96
"NWT","GL4",2007-04-12,2007,102,98
"NWT","GL4",2007-11-03,2007,307,0
"NWT","GL4",2007-11-06,2007,310,30
"NWT","GL4",2007-12-10,2007,344,50
"NWT","GL4",2008-02-20,2008,51,105
"NWT","GL4",2008-03-21,2008,81,112
"NWT","GL4",2008-04-21,2008,112,116
"NWT","GL4",2008-10-21,2008,295,0
"NWT","GL4",2008-12-17,2008,352,62
"NWT","GL4",2009-01-12,2009,12,83
"NWT","GL4",2009-03-12,2009,71,101
"NWT","GL4",2009-04-21,2009,111,104
"NWT","GL4",2009-10-22,2009,295,2
"NWT","GL4",2009-11-05,2009,309,30
"NWT","GL4",2009-12-16,2009,350,62
"NWT","GL4",2010-01-19,2010,19,84
"NWT","GL4",2010-05-20,2010,140,126
"NWT","GL4",2010-10-25,2010,298,0
"NWT","GL4",2010-12-09,2010,343,54
"NWT","GL4",2011-01-27,2011,27,105
"NWT","GL4",2011-03-01,2011,60,115
"NWT","GL4",2011-03-12,2011,71,112
"NWT","GL4",2011-05-05,2011,125,136
"NWT","GL4",2011-10-22,2011,295,0
"NWT","GL4",2012-10-14,2012,288,0
"NWT","GL4",2013-10-30,2013,303,0
"NWT","GL4",2014-10-30,2014,303,0
"NWT","GL4",2014-12-12,2014,346,40
"NWT","GL4",2015-01-08,2015,8,110
"NWT","GL4",2015-01-27,2015,27,80
"NWT","GL4",2015-04-14,2015,104,86
"NWT","GL4",2016-12-22,2016,357,73
"NWT","GL4",2017-01-19,2017,19,90
"NWT","GL4",2017-04-17,2017,107,124
"NWT","GL4",2017-12-12,2017,346,55
"NWT","GL4",2018-02-27,2018,58,105
"NWT","GL4",2018-03-27,2018,86,105
"NWT","GL4",2018-11-15,2018,319,42
"NWT","GL4",2018-12-10,2018,344,53
"NWT","GL4",2018-12-14,2018,348,66
"NWT","GL4",2019-02-04,2019,35,100
"NWT","GL4",2019-03-26,2019,85,150
"NWT","GL4",2019-04-23,2019,113,110
"NWT","GL4",2019-11-14,2019,318,44
"NWT","GL4",2020-01-16,2020,16,76
"NWT","GL4",2020-03-05,2020,65,105
"NWT","GL4",2020-04-28,2020,119,125
"NWT","GL4",2020-12-08,2020,343,47
"NWT","GL4",2021-01-07,2021,7,73
"NWT","GL4",2021-02-02,2021,33,80
"NWT","GL4",2021-03-09,2021,68,93
"NWT","GL4",2021-04-27,2021,117,90.5
"NWT","GL4",2021-05-20,2021,140,90
